CTRL_1	CTRL_2	CTRL_3	CTRL_4	R1881_1	R1881_2	R1881_3	R1881_4	Enza_1	Enza_2	Enza_3	Enza_4	C6_1	C6_2	C6_3	C6_4	Protein.Group	Protein.Ids	Protein.Names	Genes	First.Protein.Description
23.106294631958	23.0902290344238	23.0739822387695	22.9654312133789	23.0934562683105	23.0592021942139	23.1410217285156	23.139461517334	23.2534961700439	23.2534961700439	23.1014938354492	23.176456451416	23.1930999755859	23.1549911499023	23.246265411377	23.1611557006836	A0AVT1	A0AVT1	UBA6_HUMAN	UBA6	Ubiquitin-like modifier-activating enzyme 6
21.931568145752	21.9207077026367	21.8913383483887	21.9494895935059	21.9459247589111	21.8190937042236	21.8461322784424	21.9097633361816	21.9742126464844	22.0122261047363	21.8461322784424	21.9387645721436	21.9207077026367	21.924337387085	21.9846801757813	21.9530487060547	A0FGR8	A0FGR8	ESYT2_HUMAN	ESYT2	Extended synaptotagmin-2
19.8745365142822	20.2763977050781	19.7539291381836	19.8964862823486	19.7241115570068	19.6809921264648	19.2550868988037	19.8538055419922	19.5102157592773	19.7175388336182	19.5916309356689	19.5776958465576	19.8400096893311	19.814733505249	19.5649433135986	19.3978004455566	A0JLT2	A0JLT2	MED19_HUMAN	MED19	Mediator of RNA polymerase II transcription subunit 19
19.774808883667	19.634313583374	19.6777935028076	19.3701972961426	19.6778430938721	19.6442222595215	19.3267650604248	19.5761966705322	19.6216526031494	20.0156326293945	19.7811183929443	19.7384853363037	19.931568145752	19.7353553771973	19.7010154724121	19.7681980133057	A0JNW5	A0JNW5	BLT3B_HUMAN	BLTP3B	Bridge-like lipid transfer protein family member 3B
23.5285034179688	23.5638370513916	23.4922828674316	23.5403785705566	23.5403785705566	23.5638370513916	23.5403785705566	23.5869197845459	23.5044574737549	23.60964012146	23.5285034179688	23.5285034179688	23.4425296783447	23.5754241943359	23.5521545410156	23.632007598877	A0MZ66	A0MZ66	SHOT1_HUMAN	SHTN1	Shootin-1
21.6800289154053	21.8950424194336	21.8461322784424	21.6757297515869	21.7955074310303	21.8839015960693	21.7875576019287	21.8726749420166	21.6005954742432	21.8112735748291	21.8499546051025	21.9134216308594	21.559175491333	21.7875576019287	21.9530487060547	21.7347965240479	A0PJW6	A0PJW6	TM223_HUMAN	TMEM223	Transmembrane protein 223
21.1078910827637	21.1078910827637	20.8034114837646	20.8112735748291	20.7139778137207	20.8268718719482	20.7139778137207	20.4169960021973	20.8112735748291	20.8726749420166	20.8112735748291	20.7875576019287	20.9170684814453	20.8801689147949	20.7055644989014	20.3645286560059	A1A4S6	A1A4S6	RHG10_HUMAN	ARHGAP10	Rho GTPase-activating protein 10
18.1763973236084	17.9521903991699	17.7356147766113	18.1588668823242	17.6334133148193	19.2581367492676	18.617130279541	17.2652206420898	17.5935668945313	18.80810546875	18.0981864929199	18.5479679107666	18.1993179321289	17.5544986724854	17.9871425628662	18.1251964569092	A1IGU5	A1IGU5	ARH37_HUMAN	ARHGEF37	Rho guanine nucleotide exchange factor 37
20.6540336608887	20.4676208496094	20.1703548431396	19.9250450134277	20.4775371551514	19.9459247589111	19.9459247589111	19.411470413208	18.908597946167	19.988151550293	20.0690727233887	19.4679946899414	20.0821285247803	19.8246879577637	20.0156326293945	19.2401084899902	A1L020	A1L020	MEX3A_HUMAN	MEX3A	RNA-binding protein MEX3A
20.3538017272949	20.7795658111572	21.1703548431396	20.1580772399902	20.5451011657715	19.8087329864502	20.9811992645264	20.4576377868652	19.9138717651367	20.3211345672607	20.2649917602539	20.6800289154053	20.0426006317139	20.1332015991211	20.5451011657715	19.7201900482178	A1L020;Q6ZN04;Q86XN8	Q6ZN04;Q86XN8;Q5U5Q3;A1L020	MEX3A_HUMAN;MEX3B_HUMAN;MEX3D_HUMAN	MEX3A;MEX3B;MEX3D	RNA-binding protein MEX3A
23.6540336608887	23.6540336608887	23.60964012146	23.5044574737549	23.8093128204346	23.7491912841797	23.7593879699707	23.7181644439697	23.7695121765137	23.8093128204346	23.6757297515869	23.7491912841797	23.7795658111572	23.7994651794434	23.8093128204346	23.7285823822021	A1L0T0	A1L0T0	HACL2_HUMAN	ILVBL	2-hydroxyacyl-CoA lyase 2
19.9742126464844	NaN	NaN	19.0299129486084	19.4858474731445	NaN	20.5356407165527	19.6205787658691	19.4218788146973	19.9742126464844	20.60964012146	20.1580772399902	20.2763977050781	20.1825294494629	20.7139778137207	20.4676208496094	A1L188	A1L188	NDUF8_HUMAN	NDUFAF8	NADH dehydrogenase [ubiquinone] 1 alpha subcomplex assembly factor 8
19.1969470977783	19.603084564209	19.6632385253906	19.9742126464844	19.2557849884033	18.7782402038574	19.7189311981201	19.4908828735352	19.2472038269043	19.7924423217773	19.5709495544434	19.988151550293	19.3350868225098	19.4828319549561	19.6350479125977	19.5570640563965	A1L390	A1L390	PKHG3_HUMAN	PLEKHG3	Pleckstrin homology domain-containing family G member 3
20.8346061706543	20.9742126464844	21.0088119506836	21.0821285247803	21.3804702758789	21.0558967590332	21.3375606536865	21.4676208496094	21.3211345672607	21.3962364196777	21.0821285247803	21.2419090270996	21.1456928253174	21.3266315460205	21.2125244140625	21.645263671875	A1L3X0	A1L3X0	ELOV7_HUMAN	ELOVL7	Elongation of very long chain fatty acids protein 7
21.8268718719482	21.5403785705566	21.6800289154053	21.6971035003662	21.6843166351318	21.5403785705566	21.5869197845459	21.7430400848389	21.4221382141113	21.7715282440186	21.6843166351318	21.688591003418	21.7181644439697	21.5914936065674	21.6971035003662	21.7389240264893	A1X283	A1X283	SPD2B_HUMAN	SH3PXD2B	SH3 and PX domain-containing protein 2B
18.9248695373535	19.0912055969238	18.9921855926514	19.0146389007568	19.1963634490967	19.3556594848633	19.0886077880859	19.1272811889648	18.83864402771	18.8655128479004	19.1973438262939	19.1691341400146	19.2909202575684	19.3201332092285	18.8186454772949	18.6397743225098	A2RRD8;Q96IR2	A2RRD8;Q96IR2	ZN320_HUMAN;ZN845_HUMAN	ZNF320;ZNF845	Zinc finger protein 320
20.3962364196777	20.3321056365967	20.4169960021973	19.9742126464844	20.2419090270996	20.1332015991211	20.2989387512207	20.2065753936768	20.1078910827637	20.2534961700439	20.1825294494629	20.0426006317139	20.3857440948486	20.1703548431396	20.2419090270996	19.9281272888184	A2RRP1	A2RRP1	NBAS_HUMAN	NBAS	NBAS subunit of NRZ tethering complex
20.4971656799316	20.5356407165527	20.1946029663086	20.2763977050781	20.1332015991211	19.988151550293	20.3751754760742	20.2649917602539	20.2419090270996	20.4272632598877	20.2065753936768	20.582332611084	20.5914936065674	20.3211345672607	20.4374599456787	20.6540336608887	A2RTX5	A2RTX5	SYTC2_HUMAN	TARS3	Threonine--tRNA ligase 2, cytoplasmic
25.384428024292	25.5696430206299	25.2058296203613	25.5926342010498	25.612455368042	25.7745475769043	25.5314807891846	25.5044574737549	25.7076721191406	25.6347808837891	25.2996387481689	25.4361896514893	25.4707279205322	25.6594886779785	25.0974807739258	25.3544750213623	A2RTX5;P26639	P26639;A2RTX5	SYTC2_HUMAN;SYTC_HUMAN	TARS1;TARS3	Threonine--tRNA ligase 2, cytoplasmic
19.4748935699463	18.4237766265869	18.7856597900391	19.532657623291	19.2613372802734	18.9554691314697	19.6255302429199	20.0019588470459	19.2791347503662	18.8551292419434	19.2816581726074	19.3872814178467	19.4369029998779	18.9892120361328	19.5115242004395	19.2754173278809	A2RU67	A2RU67	F234B_HUMAN	FAM234B	Protein FAM234B
17.9914836883545	17.7129497528076	18.3743171691895	17.5619449615479	17.4035606384277	17.2984657287598	16.2913112640381	17.418643951416	17.0013523101807	18.1254844665527	18.1270866394043	17.5357151031494	17.8903293609619	16.5933990478516	17.2785396575928	17.1943626403809	A2VDF0	A2VDF0	FUCM_HUMAN	FUOM	Fucose mutarotase
20.2534961700439	20.0426006317139	20.2534961700439	20.1332015991211	20.1580772399902	19.9459247589111	19.9297351837158	20.2419090270996	19.988151550293	20.1332015991211	20.2763977050781	20.0690727233887	19.9742126464844	20.1456928253174	20.2763977050781	20.0558967590332	A3KMH1	A3KMH1	VWA8_HUMAN	VWA8	von Willebrand factor A domain-containing protein 8
23.3910007476807	23.5165309906006	23.4922828674316	23.3511066436768	23.310079574585	23.310079574585	23.5285034179688	23.4551296234131	23.1190204620361	23.3910007476807	23.4551296234131	23.5165309906006	23.2961406707764	23.4425296783447	23.4298191070557	23.4425296783447	A3KN83	A3KN83	SBNO1_HUMAN	SBNO1	Protein strawberry notch homolog 1
22.1046962738037	22.1332015991211	22.0821285247803	22.1300621032715	22.0291786193848	22.0821285247803	22.176456451416	22.0359058380127	22.0053882598877	22.176456451416	22.203592300415	22.0756149291992	22.0291786193848	22.0657901763916	22.045934677124	22.0788745880127	A4D1E9	A4D1E9	GTPBA_HUMAN	GTPBP10	GTP-binding protein 10
20.2649917602539	20.2989387512207	20.5261173248291	20.287712097168	20.1703548431396	19.9742126464844	20.0950679779053	20.0558967590332	20.1946029663086	20.2302265167236	20.1456928253174	20.1456928253174	20.3538017272949	20.1580772399902	20.2989387512207	20.0558967590332	A4D1P6	A4D1P6	WDR91_HUMAN	WDR91	WD repeat-containing protein 91
20.931568145752	20.7139778137207	20.645263671875	20.60964012146	20.7553176879883	20.582332611084	21.1580772399902	20.9459247589111	20.2534961700439	21.1825294494629	21.0690727233887	21.1703548431396	20.5731143951416	20.967191696167	20.5068817138672	20.4374599456787	A4D1S5	A4D1S5	RAB19_HUMAN	RAB19	Ras-related protein Rab-19
20.582332611084	20.4066543579102	20.6364402770996	20.6800289154053	20.5731143951416	20.5068817138672	20.7055644989014	20.3751754760742	20.3321056365967	20.8190937042236	20.3857440948486	20.6540336608887	20.6275615692139	20.3211345672607	20.7471446990967	20.5544986724854	A4D1U4	A4D1U4	DEN11_HUMAN	DENND11	DENN domain-containing protein 11
24.2749767303467	23.5869197845459	24.1410217285156	23.7285823822021	23.7285823822021	23.1961040496826	23.7491912841797	23.6430625915527	23.6864566802979	24.0853748321533	23.7994651794434	23.7076721191406	23.7181644439697	23.8480453491211	23.3910007476807	23.7389240264893	A4D2B0	A4D2B0	MBLC1_HUMAN	MBLAC1	Metallo-beta-lactamase domain-containing protein 1
21.7013397216797	21.5117149353027	21.5403785705566	21.7265033721924	21.4626388549805	21.3698616027832	21.4475841522217	21.559175491333	21.3484077453613	21.1206016540527	21.4272632598877	21.3910007476807	21.6540336608887	21.4725875854492	21.60964012146	21.1456928253174	A5D8V6	A5D8V6	VP37C_HUMAN	VPS37C	Vacuolar protein sorting-associated protein 37C
14.9201946258545	14.9595537185669	15.1032180786133	15.1169080734253	NaN	NaN	NaN	12.5982131958008	NaN	NaN	NaN	13.7113227844238	14.3795547485352	13.8400011062622	14.2851715087891	NaN	A5PL33	A5PL33	KRBA1_HUMAN	KRBA1	Protein KRBA1
18.5687313079834	18.8787879943848	19.2397270202637	18.9977416992188	18.8405418395996	18.9020805358887	18.7347755432129	18.7291526794434	18.119686126709	18.5195407867432	18.463939666748	18.7272758483887	18.8604679107666	18.984468460083	18.3587112426758	18.3813018798828	A5PLL7	A5PLL7	PDES1_HUMAN	PEDS1	Plasmanylethanolamine desaturase
19.0443649291992	19.3168888092041	17.8437252044678	19.914909362793	19.5968837738037	19.3134231567383	19.6162242889404	18.7388038635254	18.9836235046387	19.22678565979	18.682165145874	18.5678253173828	18.810640335083	19.4112911224365	18.7954025268555	19.6784934997559	A5PLN9	A5PLN9	TPC13_HUMAN	TRAPPC13	Trafficking protein particle complex subunit 13
22.6275615692139	22.6186294555664	22.5498065948486	22.5474548339844	22.5451011657715	22.4725875854492	22.559175491333	22.514123916626	22.5165309906006	22.5754241943359	22.5189342498779	22.5800342559814	22.5892086029053	22.57080078125	22.559175491333	22.5684833526611	A5YKK6	A5YKK6	CNOT1_HUMAN	CNOT1	CCR4-NOT transcription complex subunit 1
19.029613494873	19.3032569885254	18.7010898590088	18.4814643859863	18.6509189605713	18.0919818878174	18.5054893493652	17.4773464202881	18.1194877624512	18.2430763244629	18.4482173919678	18.0839042663574	18.7929019927979	18.6474018096924	18.3142604827881	18.2601299285889	A6H8Y1	A6H8Y1	BDP1_HUMAN	BDP1	Transcription factor TFIIIB component B'' homolog
22.1580772399902	22.0918426513672	22.1549911499023	21.8839015960693	22.3618545532227	22.3211345672607	22.3238868713379	21.9811992645264	21.8307437896729	21.8151893615723	22.3375606536865	22.0788745880127	22.6028614044189	22.4800052642822	21.8575687408447	21.5451011657715	A6NCE7;Q9GZQ8	Q9GZQ8;A6NCE7;Q9H492	MLP3B_HUMAN;MP3B2_HUMAN	MAP1LC3B;MAP1LC3B2	Microtubule-associated proteins 1A/1B light chain 3 beta 2
18.1425762176514	17.8214492797852	16.9266548156738	17.8461952209473	17.3544731140137	17.0773677825928	16.0231018066406	17.3910007476807	17.3407459259033	NaN	16.5349922180176	NaN	NaN	17.6940383911133	17.3586769104004	18.0301761627197	A6NCS6	A6NCS6	CB072_HUMAN	C2orf72	Uncharacterized protein C2orf72
18.8398284912109	18.7849922180176	18.7542972564697	18.4975090026855	18.3194160461426	17.8187885284424	18.3801193237305	18.8187999725342	17.7081279754639	18.5921764373779	18.7758617401123	18.5890808105469	18.6650543212891	18.6103687286377	18.0381679534912	17.9809646606445	A6ND36	A6ND36	FA83G_HUMAN	FAM83G	Protein FAM83G
24.0853748321533	24.0934562683105	24.1174354553223	24.1410217285156	24.1174354553223	24.1794967651367	24.1332015991211	24.2095527648926	24.1174354553223	24.1487998962402	24.1332015991211	24.0934562683105	24.1014938354492	24.1642284393311	24.2243499755859	24.2020969390869	A6NDG6	A6NDG6	PGP_HUMAN	PGP	Glycerol-3-phosphate phosphatase
21.6714172363281	21.7013397216797	21.688591003418	21.5777320861816	21.645263671875	21.6627521514893	21.8073482513428	21.8073482513428	21.7347965240479	21.7389240264893	21.6231021881104	21.7955074310303	21.730655670166	21.8268718719482	21.7265033721924	21.7471446990967	A6NDU8	A6NDU8	RIMC1_HUMAN	RIMOC1	RAB7A-interacting MON1-CCZ1 complex subunit 1
16.4914226531982	16.4533767700195	17.3417797088623	17.0910530090332	17.1028881072998	15.6334238052368	17.4115695953369	17.6461868286133	15.3359308242798	17.5007801055908	17.3715553283691	17.5664100646973	17.8617057800293	16.9074897766113	17.3331737518311	17.2924480438232	A6NED2	A6NED2	RCCD1_HUMAN	RCCD1	RCC1 domain-containing protein 1
18.6816368103027	18.9155178070068	19.1187286376953	18.8013191223145	18.4403133392334	18.143726348877	18.3366031646729	18.0529613494873	17.5252380371094	18.3736686706543	18.4755153656006	17.4501075744629	19.1163158416748	17.7377548217773	18.4648685455322	18.1610622406006	A6NEL2	A6NEL2	SWAHB_HUMAN	SOWAHB	Ankyrin repeat domain-containing protein SOWAHB
19.8747005462646	19.79368019104	19.7634410858154	19.8265399932861	19.4160976409912	18.9639320373535	19.3840141296387	19.4700088500977	18.6031703948975	19.2996768951416	19.3687286376953	19.6058712005615	19.6936283111572	19.4456558227539	19.122127532959	19.1787624359131	A6NFI3	A6NFI3	ZN316_HUMAN	ZNF316	Zinc finger protein 316
19.3054676055908	17.4835643768311	17.2217388153076	16.9302062988281	NaN	NaN	18.6116485595703	18.5970153808594	18.2982559204102	18.7610740661621	18.2309074401855	18.7507667541504	18.9313583374023	19.0558223724365	18.6415481567383	19.0434036254883	A6NGW2;Q7RTU9	A6NGW2;Q7RTU9	STRCL_HUMAN;STRC_HUMAN	STRC;STRCP1	Putative stereocilin-like protein
24.4234218597412	24.4922828674316	24.1487998962402	24.1487998962402	23.5403785705566	24.289119720459	23.8190937042236	24.0608520507813	24.6811027526855	24.1094856262207	24.1565341949463	23.6649227142334	23.6757297515869	24.2169704437256	24.4169960021973	24.3910007476807	A6NHL2	A6NHL2	TBAL3_HUMAN	TUBAL3	Tubulin alpha chain-like 3
28.6594886779785	28.5014247894287	28.508996963501	28.3451957702637	28.7864360809326	28.2579975128174	28.37451171875	28.6389274597168	28.7453498840332	28.4976234436035	28.2215881347656	28.4032440185547	28.3910007476807	28.1889572143555	28.3494205474854	28.4393634796143	A6NHL2;P68366;Q9BQE3	P68366;P68363;Q71U36;Q9BQE3;A6NHL2	TBA1C_HUMAN;TBA4A_HUMAN;TBAL3_HUMAN	TUBA1C;TUBA4A;TUBAL3	Tubulin alpha chain-like 3
NaN	26.3761692047119	NaN	26.632007598877	26.3460426330566	26.4056797027588	25.8973522186279	26.4846210479736	26.5014247894287	26.1526718139648	26.6039943695068	26.2996387481689	26.4008026123047	26.3443508148193	26.3443508148193	26.4566974639893	A6NHQ2	A6NHQ2	FBLL1_HUMAN	FBLL1	rRNA/tRNA 2'-O-methyltransferase fibrillarin-like protein 1
23.0088119506836	23.0934562683105	23.3778247833252	23.2820663452148	23.4298191070557	23.7695121765137	23.5754241943359	23.7076721191406	23.310079574585	23.5754241943359	23.7795658111572	23.8764266967773	23.5754241943359	23.2678527832031	22.9759635925293	23.1441383361816	A6NHQ2;P22087	A6NHQ2;P22087	FBLL1_HUMAN;FBRL_HUMAN	FBL;FBLL1	rRNA/tRNA 2'-O-methyltransferase fibrillarin-like protein 1
22.3671970367432	22.2820663452148	22.1642284393311	22.4800052642822	22.1672954559326	22.0657901763916	22.1734085083008	22.3751754760742	22.2184505462646	22.2360801696777	22.3671970367432	22.3857440948486	22.2272911071777	22.2419090270996	22.203592300415	22.318380355835	A6NHR9	A6NHR9	SMHD1_HUMAN	SMCHD1	Structural maintenance of chromosomes flexible hinge domain-containing protein 1
19.4261283874512	18.6488132476807	19.0396499633789	18.7340850830078	19.1676445007324	18.101749420166	18.5619297027588	18.8466739654541	18.7353744506836	19.1109657287598	18.9363040924072	19.0492057800293	19.7505912780762	19.4697704315186	19.5624599456787	19.2156753540039	A6NHX0	A6NHX0	CAST2_HUMAN	CASTOR2	Cytosolic arginine sensor for mTORC1 subunit 2
22.0788745880127	22.1300621032715	22.0625	21.9916152954102	22.176456451416	22.0690727233887	22.2154903411865	22.1300621032715	21.9950714111328	22.0821285247803	22.1976051330566	22.1855583190918	22.203592300415	22.2820663452148	21.931568145752	22.0690727233887	A6NIH7	A6NIH7	U119B_HUMAN	UNC119B	Protein unc-119 homolog B
21.9742126464844	22.0392570495605	22.0821285247803	21.9351711273193	22.2763977050781	22.0224227905273	21.7389240264893	22.139461517334	22.0190315246582	22.1734085083008	22.1734085083008	22.1518993377686	22.318380355835	22.3564910888672	22.052583694458	21.8950424194336	A6NIH7;Q13432	A6NIH7;Q13432	U119A_HUMAN;U119B_HUMAN	UNC119;UNC119B	Protein unc-119 homolog B
20.0156326293945	20.0821285247803	19.931568145752	20.0690727233887	19.6219596862793	19.7139053344727	19.1943016052246	19.1112880706787	19.4808921813965	19.7304534912109	19.7309894561768	19.7787532806396	19.9459247589111	20.0019588470459	19.7206859588623	19.806755065918	A6NJ78	A6NJ78	MET15_HUMAN	METTL15	12S rRNA N4-methylcytidine (m4C) methyltransferase
17.2725849151611	17.7697086334229	17.5851230621338	17.7984790802002	17.9693412780762	18.3936214447021	18.2402744293213	18.2162303924561	18.5019187927246	18.2746868133545	18.0940990447998	18.2639331817627	16.6203765869141	18.4068355560303	19.1674785614014	18.8476009368896	A6NJG2	A6NJG2	SWAHD_HUMAN	SOWAHD	Ankyrin repeat domain-containing protein SOWAHD
19.5092906951904	20.0821285247803	19.5992183685303	19.9601383209229	19.7756233215332	19.3234519958496	19.4798965454102	19.2304306030273	18.3788032531738	18.541259765625	19.5821189880371	19.9742126464844	18.9764289855957	19.529182434082	18.8677768707275	18.3759307861328	A6NJU9;A8MRT5;C9JG80;E5RHQ5;F8W0I5;Q92617	Q92617;C9JG80;F8W0I5;A8MRT5;A6NJU9;E5RHQ5	NPB11_HUMAN;NPB12_HUMAN;NPB13_HUMAN;NPIB3_HUMAN;NPIB4_HUMAN;NPIB5_HUMAN	NPIPB11;NPIPB12;NPIPB13;NPIPB3;NPIPB4;NPIPB5	Nuclear pore complex-interacting protein family member B13
20.0291786193848	19.5727043151855	19.5289745330811	19.7663841247559	19.529146194458	19.0853366851807	18.8092555999756	19.1883716583252	19.4640865325928	19.5414352416992	19.4914226531982	19.8501510620117	19.5141353607178	19.3530292510986	19.6049709320068	19.2978267669678	A6NK58	A6NK58	LIPT2_HUMAN	LIPT2	Putative lipoyltransferase 2, mitochondrial
20.8423004150391	21.1078910827637	20.8346061706543	21.2649917602539	20.9097633361816	21.1142616271973	21.1885795593262	21.0558967590332	20.9742126464844	20.9097633361816	20.9024219512939	21.0690727233887	21.1580772399902	21.2065753936768	21.2302265167236	21.2125244140625	A6NKD9	A6NKD9	CC85C_HUMAN	CCDC85C	Coiled-coil domain-containing protein 85C
17.1469173431396	16.131404876709	17.1549968719482	16.8197422027588	17.4673976898193	NaN	15.6255264282227	15.1671237945557	14.8357343673706	NaN	15.2715978622437	16.8161087036133	16.2774715423584	15.7504186630249	16.4881610870361	15.4678602218628	A6NKF1	A6NKF1	SAC31_HUMAN	SAC3D1	SAC3 domain-containing protein 1
22.5356407165527	22.7512359619141	22.6562194824219	22.6971035003662	NaN	22.6540336608887	NaN	NaN	NaN	NaN	NaN	NaN	NaN	22.5731143951416	NaN	NaN	A6NKT7;Q7Z3J3	A6NKT7;Q7Z3J3	RGPD3_HUMAN;RGPD4_HUMAN	RGPD3;RGPD4	RanBP2-like and GRIP domain-containing protein 3
NaN	17.7500782012939	NaN	15.3378553390503	19.0040092468262	18.4135036468506	19.2177848815918	18.8141098022461	18.9962730407715	18.7161998748779	18.4742965698242	18.1688041687012	NaN	18.8600234985352	NaN	18.9492149353027	A6NNL5	A6NNL5	CO061_HUMAN	C15orf61	Uncharacterized protein C15orf61
21.6186294555664	21.4323711395264	21.4425296783447	20.5451011657715	20.9811992645264	21.0821285247803	21.2006015777588	21.1142616271973	19.8952255249023	20.0426006317139	21.1332015991211	21.1885795593262	21.1642284393311	20.8190937042236	20.2065753936768	20.2763977050781	A6NNY8;Q9UPT9	A6NNY8;Q9UPT9	UBP22_HUMAN;UBP27_HUMAN	USP22;USP27X	Ubiquitin carboxyl-terminal hydrolase 27
28.0400924682617	28.4512042999268	26.0792827606201	28.6250553131104	28.4590454101563	29.0190315246582	28.3494205474854	28.5052165985107	28.7957553863525	28.9230899810791	28.8593463897705	28.7389240264893	28.6145629882813	28.7549362182617	28.7739181518555	28.8886699676514	A6NNZ2;P04350;P07437;P68371;Q13509;Q13885;Q9BUF5	P07437;Q13885;Q3ZCM7;P04350;P68371;Q9BVA1;Q9BUF5;Q13509;A6NNZ2	TBB2A_HUMAN;TBB3_HUMAN;TBB4A_HUMAN;TBB4B_HUMAN;TBB5_HUMAN;TBB6_HUMAN;TBB8B_HUMAN	TUBB;TUBB2A;TUBB3;TUBB4A;TUBB4B;TUBB6;TUBB8B	Tubulin beta 8B
